URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.dk/fhir/core/ValueSet/DkCoreDeCPRValueSet,3.4.0,active,,DkCoreDeCPRValueSet,DK D-eCPR OID values,"DK D-eCPR OID values","StructureDefinition/dk-core-d-ecpr-identifier","Internal"
http://hl7.dk/fhir/core/ValueSet/DkCoreProfessionGroupValueSet,3.4.0,active,,DkCoreProfessionGroupValueSet,DK Profession Group,"DK Profession Group codes","StructureDefinition/dk-core-practitioner,StructureDefinition/ipa-dk-core-practitioner","Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-IEEEBasicObservation,3.4.0,active,,IEEEBasicObservation,Dk Core IEEE Basic Observation,"IEEE MDC codes for Basic Observations usable in Denmark","StructureDefinition/dk-core-basic-observation","hl7.terminology.r4"
http://hl7.dk/fhir/core/ValueSet/dk-core-LoincBasicObservation,3.4.0,active,,LoincBasicObservation,DK Core LOINC Basic Observations,"LOINC codes describing Basic Observations usable in Denmark.","StructureDefinition/dk-core-basic-observation","LOINC"
http://hl7.dk/fhir/core/ValueSet/dk-core-MunicipalityCodes,3.4.0,active,,MunicipalityCodes,DK Municipality Codes,"Municipality codes used in Denmark","StructureDefinition/dk-core-organization,StructureDefinition/dk-core-municipalityCodes","Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-NPUBasicObservation,3.4.0,active,,NPUBasicObservation,DK Core NPU Basic Observation,"NPU codes for Basic Observations usable in Denmark","StructureDefinition/dk-core-basic-observation","Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-RegionalSubDivisionCodes,3.4.0,active,,RegionalSubdivisionCodes,DK Regional Subdivision Codes,"Subdivision codes (Regional codes) used in Denmark","StructureDefinition/dk-core-RegionalSubDivisionCodes","Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-RelatedPersonRelationshipTypes,3.4.0,active,,RelatedPersonRelationshipTypes,DK Related Person Relationship Types,"DK Related Person Relationship Types","StructureDefinition/dk-core-related-person,ValueSet/extended-patient-contactrelationship","THO (V3),Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-SCTBasicObservation,3.4.0,active,,SCTBasicObservation,DK Core SNOMED CT Basic Observation,"SNOMED CT codes for Basic Observations usable in Denmark","StructureDefinition/dk-core-basic-observation","SCT"
http://hl7.dk/fhir/core/ValueSet/dk-core-TechniquesSCTCodes,3.4.0,active,,TechniquesSCTCodes,DK TechniquesSCTCodes,"SNOMED CT Codes for the technique used when obtaining an observation","StructureDefinition/dk-core-basic-observation,StructureDefinition/dk-core-observation,StructureDefinition/ipa-dk-core-observation","SCT"
http://hl7.dk/fhir/core/ValueSet/dk-core-UCUM-BasicUnits,3.4.0,active,,UCUMBasicUnits,DK Core UCUM Basic Units,"UCUM codes to represent units for basic Observations usable in Denmark","StructureDefinition/dk-core-basic-observation","UCUM"
